time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-16T04:06:17.110Z,61.5014,-149.9127,33.3,1.6,ml,,,,0.47,ak,ak01925sod8x,2019-02-16T04:10:35.363Z,"3km SE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-16T03:52:03.070Z,31.3972,-103.516,4.47,2.2,ml,,59,0.301,0.44,us,us2000jisf,2019-02-17T05:11:00.267Z,"3km SW of Pecos, Texas",earthquake,2,7.7,0.081,20,reviewed,us,us
2019-02-16T03:51:01.636Z,60.0044,-153.3,134.9,2.3,ml,,,,0.69,ak,ak01925scjpv,2019-02-16T03:56:12.135Z,"61km SSW of Redoubt Volcano, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-16T03:33:46.659Z,61.3753,-150.0994,19.9,2.4,ml,,,,0.75,ak,ak01925s8sak,2019-02-16T03:39:48.241Z,"18km SSW of Big Lake, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-02-16T03:29:24.740Z,18.6975,-65.1178,60,3,md,8,334,0.9181,0.35,pr,pr2019047006,2019-02-16T10:11:38.896Z,"44km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,4.25,8.43,0.14,6,reviewed,pr,pr
2019-02-16T03:05:15.819Z,63.8818,-148.7989,110.1,2.1,ml,,,,0.7,ak,ak01925s2pkm,2019-02-16T03:09:11.875Z,"8km ENE of Healy, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-02-16T03:02:49.021Z,61.4737,-149.8974,33.7,2.2,ml,,,,0.56,ak,ak01925s258b,2019-02-16T03:07:31.174Z,"6km SSE of Big Lake, Alaska",earthquake,,0.1,,,automatic,ak,ak
2019-02-16T02:53:21.460Z,45.3002,151.4974,35,4.8,mb,,190,6.294,1.04,us,us2000jipk,2019-02-16T03:25:21.040Z,"283km E of Kuril'sk, Russia",earthquake,5.3,2,0.072,59,reviewed,us,us
2019-02-16T02:51:32.340Z,33.5086667,-116.787,7.15,0.7,ml,17,58,0.07018,0.13,ci,ci37532466,2019-02-16T02:55:05.613Z,"10km NE of Aguanga, CA",earthquake,0.22,0.96,0.11,24,automatic,ci,ci
2019-02-16T02:43:57.120Z,19.1953,-66.0208,20,2.85,md,14,295,0.8801,0.31,pr,pr2019047001,2019-02-16T03:29:30.040Z,"77km N of San Juan, Puerto Rico",earthquake,1.29,27.31,0.42,14,reviewed,pr,pr
2019-02-16T02:35:31.757Z,61.1183,-152.22,0.4,1.6,ml,,,,0.78,ak,ak01925rnqx9,2019-02-16T02:38:34.885Z,"69km NW of Nikiski, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-16T02:28:51.380Z,19.413166,-155.272995,0.41,1.91,md,19,46,0.01139,0.17,hv,hv70812656,2019-02-16T02:34:49.200Z,"4km WSW of Volcano, Hawaii",earthquake,0.18,0.28,0.25,13,automatic,hv,hv
2019-02-16T02:17:28.150Z,66.29,-157.2918,10,2.6,ml,,52,0.169,0.94,us,us2000jipg,2019-02-16T22:02:17.040Z,"71km SSW of Kobuk, Alaska",earthquake,2.5,2,0.043,72,reviewed,us,us
2019-02-16T02:02:01.297Z,61.493,-149.9289,33,1.7,ml,,,,0.61,ak,ak01925rgly9,2019-02-16T02:05:48.813Z,"3km SSE of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-16T01:57:15.550Z,37.5408,20.7165,10,4.2,mb,,143,1.028,1.23,us,us2000jinx,2019-02-16T11:29:55.902Z,"22km SSW of Lithakia, Greece",earthquake,6.6,2,0.2,8,reviewed,us,us
2019-02-16T01:54:33.560Z,18.7816,-67.4526,9,3.28,md,14,284,0.398,0.45,pr,pr2019047000,2019-02-16T02:40:41.040Z,"51km NW of San Antonio, Puerto Rico",earthquake,1.71,1.89,0.14,10,reviewed,pr,pr
2019-02-16T01:41:41.461Z,61.0343,-152.3045,107.8,2.2,ml,,,,0.38,ak,ak01925r3md0,2019-02-16T01:48:13.402Z,"65km NNE of Redoubt Volcano, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-02-16T01:36:53.290Z,38.7921677,-122.7653351,1.72,1.16,md,14,76,0.01768,0.02,nc,nc73142836,2019-02-16T02:33:05.030Z,"2km NNW of The Geysers, CA",earthquake,0.26,0.5,0.21,4,automatic,nc,nc
2019-02-16T01:35:15.213Z,56.1936,-149.4308,6.2,2.5,ml,,,,0.69,ak,ak01925r2c5r,2019-02-16T01:40:01.571Z,"253km SE of Kodiak, Alaska",earthquake,,217.6,,,automatic,ak,ak
2019-02-16T01:27:11.850Z,-4.4716,101.9982,35,4.7,mb,,163,0.961,0.73,us,us2000jine,2019-02-16T02:05:12.040Z,"79km SSW of Bengkulu, Indonesia",earthquake,8.2,2,0.102,29,reviewed,us,us
2019-02-16T01:24:41.960Z,19.1911,-65.7698,124,3.32,md,3,330,1.052,0.58,pr,pr2019047005,2019-02-16T09:57:03.887Z,"84km N of Loiza, Puerto Rico",earthquake,26.58,27.23,0.27,3,reviewed,pr,pr
2019-02-16T01:12:50.240Z,69.4029,-143.7027,10,2.5,ml,,99,0.224,0.79,us,us2000jinc,2019-02-16T21:58:39.040Z,"81km S of Kaktovik, Alaska",earthquake,1.6,2,0.047,60,reviewed,us,us
2019-02-16T01:10:28.370Z,18.2208,-67.1808,108,2.75,md,6,213,0.2259,0.13,pr,pr2019047004,2019-02-16T06:02:25.040Z,"5km WNW of Mayaguez, Puerto Rico",earthquake,1.5,0.73,0.31,6,reviewed,pr,pr
2019-02-16T01:04:08.060Z,19.1621,-64.6176,100,3.2,md,4,346,1.5988,0.25,pr,pr2019047003,2019-02-16T06:09:38.040Z,"91km N of Road Town, British Virgin Islands",earthquake,9.5,13.43,0.34,4,reviewed,pr,pr
2019-02-16T00:39:14.751Z,61.4021,-149.982,43.3,1.6,ml,,,,0.47,ak,ak01925qhp9v,2019-02-16T00:44:04.310Z,"13km S of Big Lake, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-02-16T00:32:26.480Z,34.0203333,-117.0261667,0.4,0.79,ml,12,159,0.252,0.28,ci,ci37532418,2019-02-16T00:36:20.879Z,"2km SE of Yucaipa, CA",earthquake,0.7,31.61,0.168,20,automatic,ci,ci
2019-02-16T00:32:09.093Z,60.4072,-141.1985,0.8,1.5,ml,,,,0.35,ak,ak01925qg6tp,2019-02-16T00:35:01.411Z,"78km ENE of Cape Yakataga, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-02-16T00:15:04.117Z,64.9632,-147.2898,6.7,1.3,ml,,,,0.42,ak,ak01925qcj9v,2019-02-16T00:20:08.063Z,"21km NNE of Badger, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-02-16T00:03:41.070Z,19.0268,-67.2263,7,2.96,md,4,333,0.571,0.25,pr,pr2019047002,2019-02-16T05:21:11.469Z,"60km NNW of San Antonio, Puerto Rico",earthquake,3.06,2.27,0.24,4,reviewed,pr,pr
2019-02-15T23:57:13.933Z,59.376,-152.6531,74.8,1.8,ml,,,,0.42,ak,ak01924gr6is,2019-02-16T00:03:03.678Z,"64km SW of Anchor Point, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-02-15T23:55:04.950Z,19.1836662,-155.5153351,33.48,1.87,md,38,97,0.05762,0.13,hv,hv70812501,2019-02-15T23:58:19.050Z,"4km WSW of Pahala, Hawaii",earthquake,0.92,1.1,0.03,6,automatic,hv,hv
2019-02-15T23:52:57.610Z,60.7935,-146.8457,12.7,1.8,ml,,,,0.45,ak,ak01924gq7bb,2019-02-15T23:59:42.472Z,"46km SW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-15T23:48:31.720Z,34.046,-117.2133333,14,0.98,ml,23,86,0.113,0.14,ci,ci37532394,2019-02-16T00:09:37.432Z,"3km WSW of Redlands, CA",earthquake,0.24,0.6,0.153,22,reviewed,ci,ci
2019-02-15T23:46:01.450Z,37.5903333,-119.0085,0.73,0.55,md,13,191,0.02513,0.04,nc,nc73142826,2019-02-16T01:16:04.576Z,"6km SSW of Mammoth Lakes, CA",earthquake,0.52,0.83,0.174,10,reviewed,nc,nc
2019-02-15T23:25:32.872Z,64.5658,-149.8339,12,1.4,ml,,,,0.69,ak,ak01924gkd2g,2019-02-15T23:30:36.637Z,"34km W of North Nenana, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-15T23:21:45.930Z,53.9876,160.1438,66.24,4.6,mb,,95,1.315,1.11,us,us2000jimp,2019-02-16T00:32:01.040Z,"144km NE of Petropavlovsk-Kamchatskiy, Russia",earthquake,9.4,7,0.057,92,reviewed,us,us
2019-02-15T23:21:08.181Z,59.1459,-153.4392,111.8,1.8,ml,,,,0.59,ak,ak01924gjgb2,2019-02-15T23:25:45.128Z,"107km SE of Old Iliamna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-02-15T23:13:33.250Z,33.9195,-116.6955,13.48,0.88,ml,14,153,0.1251,0.05,ci,ci37532330,2019-02-15T23:51:39.671Z,"8km E of Cabazon, CA",earthquake,0.27,0.58,0.183,7,reviewed,ci,ci
2019-02-15T23:13:05.132Z,63.2389,-150.2015,97.5,2,ml,,,,0.66,ak,ak01924ghqcw,2019-02-15T23:16:52.967Z,"64km WSW of Cantwell, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-02-15T23:12:41.606Z,38.5636,-118.4577,8.8,0.4,ml,5,156.87,0.082,0.079,nn,nn00677951,2019-02-16T02:05:39.851Z,"15km ENE of Hawthorne, Nevada",earthquake,,7.6,0,1,reviewed,nn,nn
2019-02-15T23:12:00.300Z,38.5627,-118.4713,11.4,0.2,ml,4,185.87,0.077,0.1404,nn,nn00677950,2019-02-16T02:05:38.403Z,"14km ENE of Hawthorne, Nevada",earthquake,,5.9,0,1,reviewed,nn,nn
2019-02-15T22:57:32.210Z,66.2943,-157.1639,6.1,3.7,ml,,,,0.58,ak,ak01924g5toe,2019-02-16T04:10:40.040Z,"69km S of Kobuk, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2019-02-15T22:54:17.840Z,53.6729,-162.9169,35,5.1,mww,,141,1.153,1.05,us,us2000jim0,2019-02-16T00:21:25.040Z,"135km SSE of False Pass, Alaska",earthquake,5.2,1.9,0.042,54,reviewed,us,us
2019-02-15T22:42:45.400Z,40.461,-111.9373333,7.8,1.05,md,13,106,0.01379,0.14,uu,uu60312832,2019-02-15T23:13:28.220Z,"3km S of Bluffdale, Utah",earthquake,0.48,0.81,0.278,8,reviewed,uu,uu
2019-02-15T22:39:29.020Z,33.9443333,-116.7373333,12.88,0.97,ml,25,104,0.1079,0.11,ci,ci37532314,2019-02-15T23:48:51.944Z,"6km ENE of Cabazon, CA",earthquake,0.22,0.52,0.14,16,reviewed,ci,ci
2019-02-15T22:18:23.692Z,61.5172,-149.8932,63,1.7,ml,,,,0.94,ak,ak01924fxen5,2019-02-15T22:24:42.906Z,"3km E of Big Lake, Alaska",earthquake,,2.4,,,automatic,ak,ak
2019-02-15T22:18:10.209Z,61.5032,-149.9333,39,1.7,ml,,,,0.31,ak,ak01924fxdp8,2019-02-15T22:22:18.080Z,"2km SSE of Big Lake, Alaska",earthquake,,1.5,,,automatic,ak,ak
2019-02-15T22:00:35.220Z,33.5155,-116.7378333,2.78,0.9,ml,26,37,0.04977,0.12,ci,ci37532266,2019-02-15T22:04:19.529Z,"7km SW of Anza, CA",earthquake,0.18,0.22,0.168,24,automatic,ci,ci
2019-02-15T21:57:20.380Z,33.5158333,-116.7403333,3.32,0.68,ml,20,106,0.0495,0.1,ci,ci37206796,2019-02-16T00:33:48.685Z,"8km SW of Anza, CA",earthquake,0.19,0.38,0.094,11,reviewed,ci,ci
2019-02-15T21:57:08.700Z,33.0426667,-116.4156667,6.04,0.92,ml,23,70,0.03938,0.22,ci,ci37532258,2019-02-15T23:26:08.879Z,"18km ESE of Julian, CA",earthquake,0.38,0.92,0.196,14,reviewed,ci,ci
2019-02-15T21:48:27.600Z,38.7673333,-122.7325,1.16,1.35,md,34,56,0.01622,0.08,nc,nc73142816,2019-02-16T01:05:04.513Z,"2km ESE of The Geysers, CA",earthquake,0.15,0.27,0.145,8,reviewed,nc,nc
2019-02-15T21:46:01.430Z,36.5286667,-121.1211667,8.83,1.37,md,11,232,0.05482,0.08,nc,nc73142811,2019-02-16T02:23:03.968Z,"2km E of Pinnacles, CA",earthquake,0.77,0.56,0.142,10,reviewed,nc,nc
2019-02-15T21:36:32.080Z,40.4756667,-111.9283333,6.06,1.25,md,22,54,0.02832,0.17,uu,uu60312807,2019-02-15T22:05:14.360Z,"1km SSE of Bluffdale, Utah",earthquake,0.33,0.84,0.181,11,reviewed,uu,uu
2019-02-15T21:30:41.673Z,64.6487,-146.8619,9.1,1.2,ml,,,,0.47,ak,ak01924fel3y,2019-02-15T21:36:49.159Z,"9km E of Eielson Air Force Base, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-02-15T21:30:08.863Z,61.3836,-150.0913,40.4,1.9,ml,,,,0.79,ak,ak01924feil0,2019-02-15T21:34:38.122Z,"17km SSW of Big Lake, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-02-15T21:16:09.200Z,35.7855,-121.3626667,5.23,1.82,md,15,192,0.1064,0.05,nc,nc73142801,2019-02-16T00:53:03.668Z,"22km NW of San Simeon, CA",earthquake,0.57,0.67,0.18,14,reviewed,nc,nc
2019-02-15T21:15:05.760Z,52.772,-169.7024,30.5,3.4,ml,,201,1.032,0.91,us,us2000jimz,2019-02-16T04:02:15.040Z,"59km WSW of Nikolski, Alaska",earthquake,7,17.1,0.148,6,reviewed,us,us
2019-02-15T21:07:31.650Z,36.1011667,-117.6301667,0.56,1.28,ml,12,76,0.09628,0.11,ci,ci37532210,2019-02-15T21:28:33.718Z,"29km ENE of Coso Junction, CA",earthquake,0.17,0.33,0.058,7,reviewed,ci,ci
2019-02-15T21:06:30.970Z,33.5145,-116.7425,3.86,0.67,ml,24,55,0.04838,0.09,ci,ci37532202,2019-02-15T21:25:58.928Z,"8km SW of Anza, CA",earthquake,0.14,0.28,0.173,14,reviewed,ci,ci
2019-02-15T20:49:25.764Z,61.1529,-152.2597,125.9,2.1,ml,,,,0.55,ak,ak01924ex6w0,2019-02-16T16:38:05.040Z,"74km NW of Nikiski, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-02-15T20:31:22.340Z,19.4060001,-155.2813263,-0.04,1.96,md,20,44,0.01189,0.1,hv,hv70812306,2019-02-15T20:34:18.570Z,"5km WSW of Volcano, Hawaii",earthquake,0.14,0.24,0.16,13,automatic,hv,hv
2019-02-15T20:19:13.258Z,64.6859,-151.0719,13.4,1.7,ml,,,,0.3,ak,ak01924eqqfx,2019-02-15T20:22:04.288Z,"40km SSW of Manley Hot Springs, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-02-15T20:17:02.830Z,61.4136,-150.0927,33.3,1.5,ml,,,,0.56,ak,ak01924eqa7f,2019-02-15T20:20:23.701Z,"14km SSW of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-15T20:15:50.600Z,19.2458,-66.5345,24,2.48,md,6,311,0.7687,0.15,pr,pr2019046012,2019-02-16T01:30:02.433Z,"86km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,1.24,12.25,0.62,6,reviewed,pr,pr
2019-02-15T20:08:03.214Z,61.3682,-150.0104,34.1,1.8,ml,,,,0.47,ak,ak01924eocsn,2019-02-15T20:12:41.986Z,"17km NNW of Anchorage, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-15T20:07:46.070Z,33.196,-115.5753333,3.82,1.7,ml,34,45,0.03852,0.21,ci,ci37532186,2019-02-15T21:20:07.123Z,"7km SW of Niland, CA",earthquake,0.21,0.26,0.263,31,reviewed,ci,ci
2019-02-15T20:02:27.450Z,46.0176667,-112.473,-2,1.6,ml,10,106,0.059,0.14,mb,mb80336029,2019-02-15T20:19:22.080Z,"5km ENE of Butte, Montana",quarry blast,0.43,31.61,0.089,5,reviewed,mb,mb
2019-02-15T19:31:04.270Z,37.4686667,-118.8105,4.96,1.76,md,27,128,0.1107,0.05,nc,nc73142791,2019-02-16T00:12:04.206Z,"16km SW of Toms Place, CA",earthquake,0.29,1.24,0.121,16,reviewed,nc,nc
2019-02-15T18:57:44.660Z,33.5075,-116.538,10.13,0.67,ml,26,76,0.05021,0.09,ci,ci37532122,2019-02-15T19:14:56.351Z,"14km ESE of Anza, CA",earthquake,0.16,0.23,0.18,10,reviewed,ci,ci
2019-02-15T18:49:31.757Z,61.3739,-149.907,38.5,1.4,ml,,,,0.52,ak,ak01924dqc1g,2019-02-15T18:52:27.139Z,"16km S of Big Lake, Alaska",earthquake,,1.4,,,automatic,ak,ak
2019-02-15T18:49:19.263Z,64.4713,-144.9388,8,1.5,ml,,,,0.34,ak,ak01924dqb6g,2019-02-15T18:52:26.821Z,"61km NE of Delta Junction, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-15T18:47:26.345Z,60.3376,-152.6938,100.2,1.7,ml,,,,0.78,ak,ak01924dpwan,2019-02-15T18:50:46.199Z,"16km S of Redoubt Volcano, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-02-15T18:47:16.470Z,38.8298333,-122.7936667,1.52,0.27,md,13,61,0.008948,0.02,nc,nc73142786,2019-02-16T00:42:04.381Z,"6km W of Cobb, CA",earthquake,0.29,0.62,0.39,2,reviewed,nc,nc
2019-02-15T18:44:43.671Z,63.37,-151.4546,8,0.6,ml,,,,0.77,ak,ak01924dp9il,2019-02-16T00:12:56.292Z,"125km W of Cantwell, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2019-02-15T18:32:12.480Z,38.815834,-122.8255005,2.02,0.46,md,12,95,0.007526,0.04,nc,nc73142781,2019-02-15T19:13:03.260Z,"7km NW of The Geysers, CA",earthquake,0.35,0.75,0.12,2,automatic,nc,nc
2019-02-15T18:29:19.937Z,61.0324,-152.5142,137.6,2.1,ml,,,,0.56,ak,ak01924dm122,2019-02-15T18:35:33.244Z,"62km NNE of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-02-15T18:25:07.460Z,36.2213333,-120.7885,5.83,1.25,md,19,181,0.01166,0.07,nc,nc73142776,2019-02-16T00:11:04.200Z,"23km ENE of San Lucas, CA",earthquake,0.49,0.36,0.172,11,reviewed,nc,nc
2019-02-15T18:24:53.350Z,38.8123322,-122.8293304,1.17,0.34,md,7,94,0.003461,0.04,nc,nc73142771,2019-02-15T18:48:04.119Z,"7km WNW of The Geysers, CA",earthquake,0.55,0.97,,1,automatic,nc,nc
2019-02-15T18:19:20.690Z,37.4698333,-121.8125,3.85,2.17,md,46,45,0.09224,0.07,nc,nc73142766,2019-02-16T04:19:04.636Z,"10km ENE of Milpitas, CA",earthquake,0.12,0.39,0.272,42,reviewed,nc,nc
2019-02-15T18:11:47.400Z,51.7853,-176.909,55.18,5,mww,,139,0.162,0.7,us,us2000jiim,2019-02-16T16:20:21.014Z,"20km WSW of Adak, Alaska",earthquake,7,5.2,0.089,12,reviewed,us,us
2019-02-15T18:05:00.012Z,61.4028,-150.1272,29.2,1.8,ml,,,,0.61,ak,ak01924dgu6q,2019-02-15T18:09:47.384Z,"16km SW of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-15T17:55:16.600Z,40.474,-111.93,7.03,1.03,md,11,70,0.02623,0.13,uu,uu60312782,2019-02-15T18:30:33.410Z,"1km SSE of Bluffdale, Utah",earthquake,0.46,1,0.17,5,reviewed,uu,uu
2019-02-15T17:49:57.050Z,46.8765,-112.5178333,15.26,1.39,ml,5,109,0.123,0.07,mb,mb80336024,2019-02-15T21:29:49.600Z,"15km SE of Lincoln, Montana",earthquake,0.43,1.24,,0,reviewed,mb,mb
2019-02-15T17:44:15.160Z,57.7057,-155.6871,90.4,2.3,ml,,,,1.1,ak,ak01924d3sos,2019-02-15T17:49:23.381Z,"103km W of Larsen Bay, Alaska",earthquake,,2.1,,,automatic,ak,ak
2019-02-15T17:33:23.070Z,32.6243333,-117.0965,9.96,1.13,ml,17,190,0.1193,0.16,ci,ci37532066,2019-02-15T18:15:02.967Z,"5km W of Chula Vista, CA",earthquake,0.41,1.07,0.088,9,reviewed,ci,ci
2019-02-15T17:26:18.470Z,36.0063333,-117.7931667,2.25,0.62,ml,9,117,0.0602,0.07,ci,ci37532058,2019-02-15T18:13:15.897Z,"13km NE of Little Lake, CA",earthquake,0.21,0.3,0.141,3,reviewed,ci,ci
2019-02-15T17:24:36.490Z,19.4016667,-155.2836667,0.27,0.65,md,22,32,0.01135,0.1,hv,hv70812201,2019-02-15T18:37:39.570Z,"5km SW of Volcano, Hawaii",earthquake,0.12,0.16,0.166,7,reviewed,hv,hv
2019-02-15T17:20:13.801Z,61.469,-149.9285,34.3,2.1,ml,,,,0.84,ak,ak01924cynbs,2019-02-15T23:15:58.093Z,"5km SSE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-15T17:17:48.097Z,64.708,-151.0732,15,1.6,ml,,,,0.61,ak,ak01924cy2vl,2019-02-15T17:22:17.431Z,"38km SSW of Manley Hot Springs, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-15T17:09:19.752Z,63.6351,-149.8059,0,1.7,ml,,,,0.78,ak,ak01924cwayj,2019-02-15T17:13:55.457Z,"48km WSW of Healy, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-15T17:09:12.120Z,37.4721667,-121.8096667,2.61,1.49,md,24,56,0.09197,0.04,nc,nc73142756,2019-02-16T01:48:11.051Z,"10km ENE of Milpitas, CA",earthquake,0.16,0.58,0.241,18,reviewed,nc,nc
2019-02-15T17:05:48.170Z,58.9994,-153.0252,72.2,1.9,ml,,,,0.41,ak,ak01924cviap,2019-02-15T17:08:03.776Z,"109km SW of Anchor Point, Alaska",earthquake,,1,,,automatic,ak,ak
2019-02-15T17:05:37.380Z,46.8698333,-112.5205,12,1.23,ml,5,104,0.126,0.09,mb,mb80336014,2019-02-15T21:26:44.330Z,"15km SE of Lincoln, Montana",earthquake,0.36,31.61,0.04,2,reviewed,mb,mb
2019-02-15T17:05:19.560Z,60.8081,-146.8829,18,3.2,ml,,,,0.6,ak,ak01924cvg07,2019-02-16T16:01:26.040Z,"46km SW of Valdez, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-02-15T17:03:18.260Z,40.4656667,-111.9398333,7.24,1.41,md,26,33,0.01503,0.18,uu,uu60312762,2019-02-15T18:21:16.840Z,"2km S of Bluffdale, Utah",earthquake,0.31,0.63,0.271,17,reviewed,uu,uu
2019-02-15T17:00:00.220Z,40.471,-111.9298333,6.95,1.4,md,15,77,0.02423,0.17,uu,uu60312757,2019-02-15T18:13:02.000Z,"2km SSE of Bluffdale, Utah",earthquake,0.45,1.21,0.268,7,reviewed,uu,uu
2019-02-15T16:58:28.680Z,40.4711667,-111.9325,6.56,1.28,md,13,75,0.02287,0.16,uu,uu60312752,2019-02-15T17:49:24.230Z,"2km SSE of Bluffdale, Utah",earthquake,0.38,1.04,0.337,8,reviewed,uu,uu
2019-02-15T16:51:15.080Z,33.6043333,-116.717,3.49,0.16,ml,10,106,0.04072,0.05,ci,ci37532050,2019-02-15T18:09:40.932Z,"7km NW of Anza, CA",earthquake,0.16,0.59,0.069,3,reviewed,ci,ci
2019-02-15T16:50:16.215Z,63.2995,-151.0191,2,1.3,ml,,,,0.42,ak,ak01924cjnff,2019-02-15T16:53:50.356Z,"104km W of Cantwell, Alaska",earthquake,,1,,,automatic,ak,ak
2019-02-15T16:38:29.037Z,62.2637,-150.9838,69.9,1.5,ml,,,,0.26,ak,ak01924ch3uf,2019-02-15T16:41:37.991Z,"45km W of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-02-15T16:35:50.650Z,18.327,-66.1161,6,0.55,md,4,212,0.0372,0.17,pr,pr2019046011,2019-02-15T21:50:24.773Z,"3km S of Guaynabo, Puerto Rico",earthquake,2.29,0.9,0.45,2,reviewed,pr,pr
2019-02-15T16:35:01.790Z,40.4685,-111.9323333,6.87,1.54,md,21,77,0.02115,0.15,uu,uu60312747,2019-02-15T17:29:18.850Z,"2km SSE of Bluffdale, Utah",earthquake,0.34,0.78,0.324,13,reviewed,uu,uu
2019-02-15T16:32:30.693Z,62.7412,-149.3796,9.1,2.3,ml,,,,0.99,ak,ak01924cftuj,2019-02-15T16:41:37.131Z,"59km NE of Talkeetna, Alaska",earthquake,,1,,,automatic,ak,ak
2019-02-15T16:32:28.450Z,64.6003,-144.533,44.4,2.1,ml,,,,1.34,ak,ak01924cfti5,2019-02-15T16:41:37.693Z,"85km NE of Delta Junction, Alaska",earthquake,,10.2,,,automatic,ak,ak
2019-02-15T16:32:15.810Z,61.569,-152.467,249.7,2.7,ml,,,,0.91,ak,ak01924cfsj1,2019-02-15T16:41:37.409Z,"116km NNW of Nikiski, Alaska",earthquake,,6.1,,,automatic,ak,ak
2019-02-15T16:31:49.539Z,59.6043,-155.4139,8.6,2,ml,,,,0.91,ak,ak01924cfnup,2019-02-15T16:41:36.854Z,"32km WSW of Old Iliamna, Alaska",earthquake,,656.6,,,automatic,ak,ak
2019-02-15T16:24:34.100Z,33.1453333,-116.0468333,11.07,0.96,ml,17,112,0.1021,0.24,ci,ci37532034,2019-02-15T18:29:33.054Z,"8km E of Ocotillo Wells, CA",earthquake,0.46,0.86,0.21,9,reviewed,ci,ci
2019-02-15T16:20:54.230Z,6.7971,126.8225,82.24,5.2,mb,,93,1.263,1.01,us,us2000jih8,2019-02-15T16:40:39.040Z,"49km SE of Tarragona, Philippines",earthquake,10.7,7.7,0.077,56,reviewed,us,us
2019-02-15T16:13:17.000Z,44.6166667,-114.2971667,-3,1.72,ml,8,85,0.706,0.28,mb,mb80335959,2019-02-15T21:23:07.245Z,"13km NNW of Challis, Idaho",earthquake,1.1,7.08,0.195,6,reviewed,mb,mb
2019-02-15T16:12:05.060Z,40.4735,-111.9383333,6.75,1.65,ml,24,45,0.02195,0.2,uu,uu60312742,2019-02-15T17:24:08.590Z,"1km S of Bluffdale, Utah",earthquake,0.36,0.96,0.374,2,reviewed,uu,uu
2019-02-15T16:05:43.440Z,40.4693333,-111.9366667,7.29,2.18,ml,29,46,0.01936,0.17,uu,uu60312737,2019-02-16T06:45:54.793Z,"2km S of Bluffdale, Utah",earthquake,0.32,0.69,0.155,5,reviewed,uu,uu
2019-02-15T16:01:11.060Z,40.4705,-111.9273333,6.79,1.23,md,17,53,0.02537,0.14,uu,uu60312732,2019-02-15T17:06:37.420Z,"2km SSE of Bluffdale, Utah",earthquake,0.32,0.6,0.268,8,reviewed,uu,uu
2019-02-15T15:55:21.030Z,37.468,-121.8136667,3.08,2.59,md,70,45,0.09305,0.11,nc,nc73142751,2019-02-17T19:05:59.688Z,"9km ENE of Milpitas, CA",earthquake,0.12,0.44,0.156,64,reviewed,nc,nc
2019-02-15T15:53:30.119Z,36.7456,-116.2242,7.4,0,ml,11,96.84,0.02,0.0837,nn,nn00677940,2019-02-16T02:05:36.851Z,"51km ESE of Beatty, Nevada",earthquake,,1.4,0.52,5,reviewed,nn,nn
2019-02-15T15:47:39.956Z,63.3252,-145.0564,9.6,1.7,ml,,,,0.91,ak,ak01924bxmjf,2019-02-15T15:59:49.443Z,"61km S of Deltana, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-15T15:32:07.701Z,37.8239,-114.2707,8,1.2,ml,5,192.37,0.214,0.1626,nn,nn00677905,2019-02-16T02:05:11.638Z,"19km SE of Pioche, Nevada",earthquake,,4.5,0.89,2,reviewed,nn,nn
