time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-18T05:15:39.860Z,19.3223324,-155.1418304,4.81,1.87,md,42,104,0.03822,0.23,hv,hv70815866,2019-02-18T05:19:16.500Z,"15km SE of Volcano, Hawaii",earthquake,0.51,0.87,0.13,21,automatic,hv,hv
2019-02-18T05:12:04.730Z,63.5649,-147.2995,0.1,1.9,ml,,,,1.14,ak,ak019294dr6h,2019-02-18T05:15:06.212Z,"84km ENE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-18T04:52:35.500Z,61.3891,-149.949,29.8,1.8,ml,,,,0.65,ak,ak0192940ylb,2019-02-18T04:56:52.716Z,"14km S of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-18T04:36:51.140Z,19.4239998,-155.2826691,-0.67,1.72,ml,13,120,0.00486,0.15,hv,hv70815831,2019-02-18T04:42:32.030Z,"4km W of Volcano, Hawaii",earthquake,0.19,0.28,0.16,3,automatic,hv,hv
2019-02-18T04:15:51.190Z,-0.9001,127.3107,32.34,5,mww,,90,1.661,0.9,us,us2000jjfv,2019-02-18T04:34:11.040Z,"63km NW of Laiwui, Indonesia",earthquake,6.1,5.1,0.073,18,reviewed,us,us
2019-02-18T04:12:35.496Z,60.9384,-146.9327,25.2,2.2,ml,,,,0.59,ak,ak019293sdy5,2019-02-18T04:15:55.033Z,"38km SW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-18T04:11:15.480Z,19.4186668,-155.2765045,0.14,2.23,ml,23,46,0.006146,0.16,hv,hv70815821,2019-02-18T04:16:57.110Z,"4km WSW of Volcano, Hawaii",earthquake,0.17,0.21,0.4,8,automatic,hv,hv
2019-02-18T04:10:24.860Z,19.4221668,-155.2805023,0,2.08,ml,18,61,0.003775,0.09,hv,hv70815816,2019-02-18T04:16:07.110Z,"4km WSW of Volcano, Hawaii",earthquake,0.18,0.17,0.35,4,automatic,hv,hv
2019-02-18T04:04:07.942Z,61.4858,-149.7148,33.6,2.1,ml,,,,0.44,ak,ak019293qm3c,2019-02-18T05:19:10.236Z,"6km WSW of Knik-Fairview, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-18T03:58:55.373Z,64.6913,-151.0385,25,1.8,ml,,,,0.64,ak,ak019293gut2,2019-02-18T04:03:41.384Z,"39km SSW of Manley Hot Springs, Alaska",earthquake,,0.3,,,automatic,ak,ak
